,,,safeOnes,,,+ rm-tok-pattern-4,,,+ rm lines after warning,,,+ clex 3-16,,
program,package,LoC,r-LoC,% red,preserving,r-LoC,% red,preserving,r-LoC,% red,preserving,r-LoC,% red,preserving
yes,coreutils,96,94,2,ok,70,27,ok,67,30,ok,63,34,ok
who,coreutils,617,415,27,ok,24,96,fp->tp,436,29,NOK,13,98,ok
ls,coreutils,3560,419,88,fp->tp,33,99,fp->tp,386,89,fp->tp,30,92,fp->tp
dnamove,phylib,1939,84,96,fp->tp,16,99,fp->tp,65,96,fp->tp,9,99.5,fp->tp
seq.c,phylib,3567,44,99,ok,12,99.6,fp->tp,41,99,ok,9,99.7,fp->tp
bzip2,-,5094,2230,56,ok,43,99.1,fp->tp,2177,57.2,ok,12,99.7,fp->tp
oggenc,-,48322,1342,97,ok,98,99.8,fp->tp,1235,97.4,ok,28,99.9,fp->tp
Average,,,,65,,,88,,,71,,,89,
,,,,,,,,,,,,,,
